1;1;0.865858 
1;1;0.814903 
1;1;0.822995 
1;1;0.852741 
1;1;0.826356 
1;1;0.859703 
1;1;0.838415 
1;1;0.803733 
1;1;0.849541 
1;1;0.832791 
1;1;0.833006 
1;1;0.852681 
1;1;0.852507 
1;1;0.833913 
1;1;0.852994 
1;1;0.830770 
1;1;0.841882 
1;1;0.839174 
1;1;0.809067 
1;1;0.817830 
1;2;0.871145 
1;2;0.875560 
1;2;0.840544 
1;2;0.851290 
1;2;0.830278 
1;2;0.847295 
1;2;0.857035 
1;2;0.809608 
1;2;0.881117 
1;2;0.864238 
2;1;0.916078 
2;1;0.934491 
2;1;0.923211 
2;1;0.889540 
2;1;0.945850 
2;1;0.929929 
2;1;0.976977 
2;1;0.935066 
2;1;0.951048 
2;1;0.947169 
1;4;0.838494 
1;4;0.866053 
1;4;0.834963 
1;4;0.880376 
1;4;0.842610 
1;4;0.869104 
1;4;0.877113 
1;4;0.867002 
1;4;0.863916 
1;4;0.863382 
4;1;0.979290 
4;1;0.949925 
4;1;0.933977 
4;1;0.943635 
4;1;0.972761 
4;1;0.929140 
4;1;0.939776 
4;1;0.928992 
4;1;0.941149 
4;1;0.926535 
1;8;0.942778 
1;8;0.976780 
1;8;0.992533 
1;8;0.948767 
1;8;0.984378 
1;8;0.929009 
1;8;0.931692 
1;8;0.988431 
1;8;0.902344 
1;8;0.970248 
8;1;0.950921 
8;1;0.935251 
8;1;0.948907 
8;1;0.914031 
8;1;0.943724 
8;1;0.918995 
8;1;0.988537 
8;1;0.927776 
8;1;0.971947 
8;1;0.966574 
1;16;0.975678 
1;16;0.973722 
1;16;0.984795 
1;16;0.995285 
1;16;0.967644 
1;16;0.983948 
1;16;0.975824 
1;16;0.983273 
1;16;0.975950 
1;16;0.948181 
16;1;0.926530 
16;1;0.952111 
16;1;1.000562 
16;1;0.934527 
16;1;0.942291 
16;1;0.959645 
16;1;1.138573 
16;1;0.981302 
16;1;0.928282 
16;1;0.989179 
