1;1;0.817411 
1;1;0.873114 
1;1;0.848514 
1;1;0.820211 
1;1;0.833174 
1;1;0.831951 
1;1;0.862000 
1;1;0.832186 
1;1;0.880874 
1;1;0.835901 
1;1;0.855078 
1;1;0.819087 
1;1;0.845191 
1;1;0.805662 
1;1;0.840769 
1;1;0.818278 
1;1;0.867382 
1;1;0.829731 
1;1;0.844498 
1;1;0.836019 
1;2;0.841346 
1;2;0.845260 
1;2;0.853117 
1;2;0.845692 
1;2;0.872915 
1;2;0.825039 
1;2;0.834413 
1;2;0.825996 
1;2;0.839624 
1;2;0.830338 
2;1;0.882703 
2;1;0.933958 
2;1;0.918378 
2;1;0.937527 
2;1;0.915689 
2;1;0.899709 
2;1;0.912064 
2;1;0.926570 
2;1;0.895329 
2;1;0.928512 
1;4;0.852129 
1;4;0.830637 
1;4;0.814161 
1;4;0.905827 
1;4;0.831897 
1;4;0.860216 
1;4;0.825149 
1;4;0.848017 
1;4;0.818898 
1;4;0.882679 
4;1;0.936994 
4;1;0.951710 
4;1;0.953398 
4;1;0.935691 
4;1;0.928709 
4;1;0.939923 
4;1;0.958276 
4;1;0.931101 
4;1;0.910644 
4;1;0.900053 
1;8;0.828984 
1;8;0.964687 
1;8;0.901570 
1;8;0.866844 
1;8;0.907491 
1;8;0.883900 
1;8;0.871510 
1;8;0.914340 
1;8;0.916096 
1;8;0.911036 
8;1;0.957107 
8;1;0.950376 
8;1;0.945362 
8;1;0.936981 
8;1;0.956248 
8;1;0.947448 
8;1;0.927894 
8;1;0.970286 
8;1;0.947815 
8;1;0.924608 
1;16;0.921785 
1;16;0.949777 
1;16;0.958369 
1;16;0.956858 
1;16;0.946261 
1;16;0.929300 
1;16;0.927051 
1;16;1.064070 
1;16;0.992387 
1;16;0.947900 
16;1;0.959261 
16;1;0.965129 
16;1;0.982781 
16;1;1.176643 
16;1;0.991229 
16;1;0.981927 
16;1;1.117073 
16;1;0.975458 
16;1;1.211542 
16;1;1.251509 
